product_id,product_name,category,current_stock,reorder_point,lead_time_days,ewma_daily_demand,projected_demand_30d,days_to_reorder,days_to_zero,order_by_date,reorder_date,depletion_date,unit_cost,stockout_cost_30d,risk_level
26,Hazir Giyim - OM-1607,Hazir Giyim,205,89,10,10.38,369.8,9.4,16.0,2025-06-30,2025-07-09,2025-07-16,94.65,15598.32,DUSUK
15,Boya/Kimyasal - MN-8244,Boya/Kimyasal,220,147,13,11.67,377.4,5.8,17.0,2025-06-30,2025-07-05,2025-07-17,61.26,9642.32,DUSUK
43,Ham Kumas - JB-3433,Ham Kumas,248,64,21,14.97,450.1,12.3,17.0,2025-06-30,2025-07-12,2025-07-17,128.19,25907.2,DUSUK
24,Iplik - BL-3226,Iplik,189,78,20,10.13,272.4,12.2,18.0,2025-06-30,2025-07-12,2025-07-18,375.99,31357.57,DUSUK
21,Hazir Giyim - TX-2620,Hazir Giyim,295,159,6,14.51,486.8,8.4,18.0,2025-07-02,2025-07-08,2025-07-18,358.84,68825.51,DUSUK
27,Hazir Giyim - OB-7543,Hazir Giyim,113,63,12,6.45,178.8,8.4,18.0,2025-06-30,2025-07-08,2025-07-18,210.28,13836.42,DUSUK
12,Boya/Kimyasal - IT-5427,Boya/Kimyasal,329,131,18,13.96,472.1,12.6,21.0,2025-06-30,2025-07-12,2025-07-21,376.37,53858.55,DUSUK
40,Iplik - CC-9957,Iplik,204,159,20,11.0,275.4,4.9,21.0,2025-06-30,2025-07-04,2025-07-21,109.93,7849.0,DUSUK
42,Hazir Giyim - FW-4895,Hazir Giyim,368,63,9,17.07,493.5,18.5,23.0,2025-07-09,2025-07-18,2025-07-23,137.93,17310.22,DUSUK
5,Boya/Kimyasal - PL-3619,Boya/Kimyasal,317,177,12,14.87,419.8,10.0,23.0,2025-06-30,2025-07-10,2025-07-23,87.17,8961.08,DUSUK
55,Iplik - EA-3623,Iplik,202,92,22,9.05,237.3,13.9,24.0,2025-06-30,2025-07-13,2025-07-24,159.23,5620.82,DUSUK
57,Boya/Kimyasal - SB-3669,Boya/Kimyasal,242,125,12,10.03,280.9,12.5,25.0,2025-06-30,2025-07-12,2025-07-25,144.78,5631.94,DUSUK
19,Hazir Giyim - HE-8680,Hazir Giyim,320,122,13,12.9,391.2,15.2,25.0,2025-07-02,2025-07-15,2025-07-25,130.55,9295.16,DUSUK
36,Aksesuar - UZ-4846,Aksesuar,151,57,13,5.86,176.7,16.0,25.0,2025-07-02,2025-07-15,2025-07-25,26.78,688.25,DUSUK
45,Boya/Kimyasal - TS-7693,Boya/Kimyasal,149,102,8,5.93,169.1,8.3,26.0,2025-06-30,2025-07-08,2025-07-26,278.67,5601.27,DUSUK
28,Iplik - EX-3654,Iplik,225,148,21,7.15,246.0,9.4,27.0,2025-06-30,2025-07-09,2025-07-27,70.09,1471.89,DUSUK
10,Iplik - IN-9911,Iplik,163,43,10,6.24,181.3,19.9,27.0,2025-07-09,2025-07-19,2025-07-27,244.55,4475.27,DUSUK
8,Boya/Kimyasal - IQ-5346,Boya/Kimyasal,261,63,13,9.03,287.8,20.6,27.0,2025-07-07,2025-07-20,2025-07-27,145.35,3895.38,DUSUK
30,Hazir Giyim - LL-5014,Hazir Giyim,237,158,6,8.01,245.7,9.6,29.0,2025-07-03,2025-07-09,2025-07-29,291.85,2539.09,DUSUK
32,Boya/Kimyasal - HY-5698,Boya/Kimyasal,426,192,10,6.99,224.9,31.2,30.0,2025-07-21,2025-07-31,2025-07-30,271.89,0.0,DUSUK
29,Boya/Kimyasal - RI-4586,Boya/Kimyasal,370,132,22,5.66,194.0,36.8,30.0,2025-07-14,2025-08-05,2025-07-30,283.82,0.0,DUSUK
25,Hazir Giyim - KY-5634,Hazir Giyim,262,68,22,5.82,188.8,30.8,30.0,2025-07-08,2025-07-30,2025-07-30,78.25,0.0,DUSUK
22,Hazir Giyim - QG-0533,Hazir Giyim,260,90,8,5.72,194.3,26.3,30.0,2025-07-18,2025-07-26,2025-07-30,217.17,0.0,DUSUK
31,Ham Kumas - BW-4019,Ham Kumas,318,103,6,5.33,174.0,37.1,30.0,2025-07-31,2025-08-06,2025-07-30,372.47,0.0,DUSUK
23,Aksesuar - VJ-5869,Aksesuar,340,55,9,4.41,134.6,63.5,30.0,2025-08-23,2025-09-01,2025-07-30,161.99,0.0,DUSUK
16,Aksesuar - FQ-5348,Aksesuar,407,162,20,12.51,331.0,22.2,30.0,2025-07-02,2025-07-22,2025-07-30,296.26,0.0,DUSUK
11,Boya/Kimyasal - EP-8425,Boya/Kimyasal,362,53,21,6.88,246.1,37.7,30.0,2025-07-16,2025-08-06,2025-07-30,317.44,0.0,DUSUK
13,Iplik - QJ-4980,Iplik,451,123,21,6.36,209.5,47.0,30.0,2025-07-25,2025-08-15,2025-07-30,146.0,0.0,DUSUK
2,Aksesuar - DD-9805,Aksesuar,281,195,22,7.98,256.3,10.1,30.0,2025-06-30,2025-07-10,2025-07-30,121.03,0.0,DUSUK
4,Hazir Giyim - ME-8121,Hazir Giyim,242,72,7,6.03,177.4,28.7,30.0,2025-07-21,2025-07-28,2025-07-30,193.19,0.0,DUSUK
14,Ham Kumas - HG-4124,Ham Kumas,232,183,21,5.01,167.9,8.8,30.0,2025-06-30,2025-07-08,2025-07-30,333.99,0.0,DUSUK
18,Iplik - VC-5242,Iplik,378,169,12,5.01,167.0,37.5,30.0,2025-07-25,2025-08-06,2025-07-30,335.32,0.0,DUSUK
39,Boya/Kimyasal - NB-8044,Boya/Kimyasal,380,178,20,7.79,238.1,25.5,30.0,2025-07-05,2025-07-25,2025-07-30,267.73,0.0,DUSUK
38,Hazir Giyim - TZ-6299,Hazir Giyim,236,106,10,3.41,120.8,32.3,30.0,2025-07-22,2025-08-01,2025-07-30,249.18,0.0,DUSUK
47,Ham Kumas - LZ-0163,Ham Kumas,187,79,20,5.13,170.3,19.0,30.0,2025-06-30,2025-07-19,2025-07-30,109.96,0.0,DUSUK
46,Boya/Kimyasal - JP-6763,Boya/Kimyasal,259,176,22,4.15,126.9,19.6,30.0,2025-06-30,2025-07-19,2025-07-30,352.5,0.0,DUSUK
41,Ham Kumas - QF-3872,Ham Kumas,444,135,8,9.74,315.3,29.4,30.0,2025-07-21,2025-07-29,2025-07-30,45.29,0.0,DUSUK
44,Ham Kumas - XE-0379,Ham Kumas,239,67,18,4.47,143.5,36.0,30.0,2025-07-17,2025-08-04,2025-07-30,41.05,0.0,DUSUK
33,Hazir Giyim - TB-9340,Hazir Giyim,313,128,21,6.55,207.5,26.7,30.0,2025-07-05,2025-07-26,2025-07-30,29.45,0.0,DUSUK
37,Aksesuar - AQ-4823,Aksesuar,198,124,5,4.71,146.8,15.1,30.0,2025-07-10,2025-07-15,2025-07-30,108.4,0.0,DUSUK
51,Hazir Giyim - QW-7277,Hazir Giyim,261,142,13,5.29,178.3,20.0,30.0,2025-07-07,2025-07-20,2025-07-30,316.2,0.0,DUSUK
50,Ham Kumas - BJ-5798,Ham Kumas,300,184,8,3.93,137.4,25.3,30.0,2025-07-17,2025-07-25,2025-07-30,340.56,0.0,DUSUK
56,Aksesuar - AD-6587,Aksesuar,350,191,22,8.63,248.6,19.2,30.0,2025-06-30,2025-07-19,2025-07-30,132.81,0.0,DUSUK
53,Boya/Kimyasal - PR-4714,Boya/Kimyasal,326,142,7,4.46,135.6,40.7,30.0,2025-08-02,2025-08-09,2025-07-30,166.33,0.0,DUSUK
58,Aksesuar - WT-9670,Aksesuar,334,125,21,9.77,302.0,20.8,30.0,2025-06-30,2025-07-20,2025-07-30,325.67,0.0,DUSUK
60,Hazir Giyim - BF-3734,Hazir Giyim,353,138,20,8.63,287.6,22.4,30.0,2025-07-02,2025-07-22,2025-07-30,70.2,0.0,DUSUK
